zip,city,county,state
78204,San Antonio,Bexar,TX
95407,Santa Rosa,Sonoma,CA
21061,Glen Burnie,Anne Arundel,MD
48180,Taylor,Wayne,MI
6610,Bridgeport,Fairfield,CT
8611,Trenton,Mercer,NJ
11801,Hicksville,Nassau,NY
19143,Philadelphia,Philadelphia,PA
45251,Cincinnati,Hamilton,OH
60623,Chicago,Cook,IL
78754,Austin,Travis,TX
8876,Somerville,Somerset,NJ
57105,Sioux Falls,Minnehaha,SD
94080,South San Francisco,San Mateo,CA
41005,Burlington,Boone,KY
11219,Brooklyn,Kings,NY
32216,Jacksonville,Duval,FL
44707,Canton,Stark,OH
46040,Fortville,Hancock,IN
33014,Hialeah,Miami-Dade,FL
92020,El Cajon,San Diego,CA
6515,New Haven,New Haven,CT
7087,Union City,Hudson,NJ
8807,Bridgewater,Somerset,NJ
99708,Fairbanks,Fairbanks North Star,AK
2904,Providence,Providence,RI
33461,Lake Worth,Palm Beach,FL
53207,Milwaukee,Milwaukee,WI
70002,Metairie,Jefferson,LA
70508,Lafayette,Lafayette,LA
6473,North Haven,New Haven,CT
77301,Conroe,Montgomery,TX
90706,Bellflower,Los Angeles,CA
97754,Prineville,Crook,OR
19440,Hatfield,Montgomery,PA
33619,Tampa,Hillsborough,FL
53216,Milwaukee,Milwaukee,WI
91731,El Monte,Los Angeles,CA
20710,Bladensburg,Prince Georges,MD
30328,Atlanta,Fulton,GA
48329,Waterford,Oakland,MI
76707,Waco,McLennan,TX
2210,Boston,Suffolk,MA
45840,Findlay,Hancock,OH
64504,Saint Joseph,Buchanan,MO
66218,Shawnee,Johnson,KS
11226,Brooklyn,Kings,NY
46240,Indianapolis,Marion,IN
76040,Euless,Tarrant,TX
76301,Wichita Falls,Wichita,TX
80303,Boulder,Boulder,CO
32254,Jacksonville,Duval,FL
32750,Longwood,Seminole,FL
28301,Fayetteville,Cumberland,NC
76708,Waco,McLennan,TX
98104,Seattle,King,WA
17404,York,York,PA
85381,Peoria,Maricopa,AZ
1602,Worcester,Worcester,MA
6854,Norwalk,Fairfield,CT
11953,Middle Island,Suffolk,NY
18966,Southampton,Bucks,PA
19046,Jenkintown,Montgomery,PA
23219,Richmond,Richmond City,VA
37110,Mc Minnville,Warren,TN
53715,Madison,Dane,WI
63104,Saint Louis,Saint Louis City,MO
45203,Cincinnati,Hamilton,OH
13214,Syracuse,Onondaga,NY
94577,San Leandro,Alameda,CA
10536,Katonah,Westchester,NY
46514,Elkhart,Elkhart,IN
58102,Fargo,Cass,ND
7446,Ramsey,Bergen,NJ
43215,Columbus,Franklin,OH
70506,Lafayette,Lafayette,LA
14228,Buffalo,Erie,NY
21202,Baltimore,Baltimore City,MD
94070,San Carlos,San Mateo,CA
21230,Baltimore,Baltimore City,MD
23608,Newport News,Newport News City,VA
27409,Greensboro,Guilford,NC
48310,Sterling Heights,Macomb,MI
96720,Hilo,Hawaii,HI
4401,Bangor,Penobscot,ME
8812,Dunellen,Middlesex,NJ
18954,Richboro,Bucks,PA
33196,Miami,Miami-Dade,FL
33511,Brandon,Hillsborough,FL
78731,Austin,Travis,TX
27215,Burlington,Alamance,NC
70360,Houma,Terrebonne,LA
94583,San Ramon,Contra Costa,CA
91362,Thousand Oaks,Ventura,CA
